|filename                                                    | depth     | fanout    | filesize  | disk (blk)|
|./lib/aarch64-linux-gnu/gconv/IBM1163.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP1257.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM864.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM420.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-AT-DE-A.so             | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-IT.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM933.so                     | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/gconv-modules                 | 4         | 0         | 3916      | 4         |
|./lib/aarch64-linux-gnu/gconv/IBM862.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO-IR-209.so                 | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1155.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/T.61.so                       | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EUC-JP-MS.so                  | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/MACINTOSH.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GREEK-CCITT.so                | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-US.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/INIS-8.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1142.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/UNICODE.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP1251.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM4899.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/NATS-DANO.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1132.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM866NAV.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM891.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1157.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM870.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO_2033.so                   | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/UHC.so                        | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/IBM918.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO_11548-1.so                | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1162.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM037.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM274.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP1253.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO_10367-BOX.so              | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/KOI8-RU.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/PT154.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP773.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-CA-FR.so               | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1160.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM280.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP737.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO8859-4.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GREEK7.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM16804.so                   | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/JOHAB.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM858.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-DK-NO.so               | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO_5427-EXT.so               | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GOST_19768-74.so              | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM4517.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM901.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CWI.so                        | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/KOI8-R.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/UTF-16.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-IS-FRISS.so            | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1140.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/UTF-7.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM852.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1167.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP774.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/gconv-modules.cache           | 4         | 0         | 27028     | 28        |
|./lib/aarch64-linux-gnu/gconv/INIS-CYRILLIC.so              | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1112.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1388.so                    | 4         | 0         | 198664    | 196       |
|./lib/aarch64-linux-gnu/gconv/BIG5.so                       | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/IBM1154.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/BRF.so                        | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM868.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GBBIG5.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1046.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/MAC-IS.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1164.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1390.so                    | 4         | 0         | 264200    | 260       |
|./lib/aarch64-linux-gnu/gconv/IBM1122.so                    | 4         | 0         | 67592     | 68        |
